"Name","Gross Export","Share","Code","Sector"
"Musical instruments, electric","130504","0.003168484381569112","9207","Machinery"
"Other musical instruments, n.e.c.","27191","0.0006601656563725688","9208","Machinery"
"Parts of musical instruments","487176","0.011828063102091226","9209","Machinery"
"Other firearms","4313","0.00010471459217884187","9303","Machinery"
"Other arms (air guns, truncheons, etc.)","231904","0.005630357705690272","9304","Machinery"
"Parts of military weapons","97857","0.0023758534307546783","9305","Machinery"
"Munitions of war","90892","0.002206751382406514","9306","Machinery"
"Swords","4442","0.0001078465612006528","9307","Machinery"
"Toys","3252558","0.07896830153211906","9503","Machinery"
"Games","1311038","0.031830468235790506","9504","Machinery"
"Christmas and other festivity articles","68811","0.0016706505454250607","9505","Machinery"
"Sports equipment","2526610","0.06134313372246317","9506","Machinery"
"Fairground amusements","11030","0.0002677954907796489","9508","Machinery"
"Worked vegetable or mineral carving material","16138","0.00039181175251151165","9602","Machinery"
"Brooms and mops","3171240","0.0769939956645561","9603","Machinery"
"Hand sieves and riddles","3415","0.00008291220317429746","9604","Machinery"
"Travel sets","1648","0.00004001151122437547","9605","Machinery"
"Buttons","5750","0.0001396032703520382","9606","Machinery"
"Slide fasteners","61556","0.0014945076364852282","9607","Machinery"
"Pens","11719275","0.28453028107041434","9608","Machinery"
"Pencils, crayons, pastels, etc.","1395147","0.03387253631684087","9609","Machinery"
"Hand-operated stamps","20550","0.0004989299488233712","9611","Machinery"
"Typewriter ribbons and ink pads","70621","0.0017145952270489198","9612","Machinery"
"Cigarette lighters","20474","0.0004970847577717617","9613","Machinery"
"Smoking pipes","35587","0.000864010709916171","9614","Machinery"
"Combs, hair-slides etc.","12071","0.0002930697524207744","9615","Machinery"
"Scent sprays","156289","0.003794514003486904","9616","Machinery"
"Vacuum vessels","134409","0.003263293211260365","9617","Machinery"
"Mannequins","9576","0.00023249407250280305","9618","Machinery"
